window_s,config,mean_acc,std_acc,itr_bits_per_min,block_0,block_1,block_2,block_3
0.5,A_8ch,0.525,0.1436140661634507,29.873631973756893,0.5,0.75,0.5,0.35
0.5,B_top4,0.6000000000000001,0.11726039399558574,47.40772863082431,0.55,0.8,0.5,0.55
0.75,A_8ch,0.6124999999999999,0.19485571585149872,33.812782870293475,0.75,0.8,0.6,0.3
0.75,B_top4,0.6375,0.17809758560968758,38.45698118734333,0.65,0.9,0.6,0.4
1.0,A_8ch,0.7000000000000001,0.15811388300841897,38.59322103317764,0.8,0.9,0.6,0.5
1.0,B_top4,0.7375,0.13863170633011773,45.207109263427,0.9,0.85,0.6,0.6
1.25,A_8ch,0.7125,0.18833148966649205,32.584962413475594,0.9,0.9,0.55,0.5
1.25,B_top4,0.775,0.16007810593582122,41.961149199586856,0.85,1.0,0.6,0.65
1.5,A_8ch,0.7375,0.16345871038277526,30.138072842284668,0.9,0.9,0.6,0.55
1.5,B_top4,0.7875000000000001,0.17093492913971675,36.67844668925094,0.95,0.95,0.55,0.7
2.0,A_8ch,0.775,0.20155644370746373,26.225718249741785,0.95,1.0,0.55,0.6
2.0,B_top4,0.8125,0.16345871038277524,30.198218129689124,0.95,1.0,0.65,0.65
2.5,A_8ch,0.8500000000000001,0.15000000000000002,27.657967684210238,1.0,1.0,0.7,0.7
2.5,B_top4,0.7999999999999999,0.15811388300841897,23.065905719241744,0.9,1.0,0.7,0.6
3.0,A_8ch,0.8375,0.16345871038277526,22.04373299903523,1.0,1.0,0.7,0.65
3.0,B_top4,0.8500000000000001,0.15000000000000002,23.048306403508533,1.0,1.0,0.7,0.7
4.0,A_8ch,0.8125,0.16345871038277524,15.099109064844562,1.0,0.95,0.65,0.65
4.0,B_top4,0.8625,0.13863170633011773,18.06620629195917,1.0,1.0,0.75,0.7
5.0,A_8ch,0.85,0.12747548783981963,13.828983842105114,1.0,0.95,0.7,0.75
5.0,B_top4,0.875,0.1436140661634507,15.099782930523109,1.0,1.0,0.65,0.85
