window_s,config,mean_acc,std_acc,itr_bits_per_min,block_0,block_1,block_2,block_3,channels_used_per_block
0.5,A_8ch,0.525,0.1436140661634507,29.873631973756893,0.5,0.75,0.5,0.35,null
0.5,B_top4_nested,0.5125,0.0649519052838329,27.33380040878254,0.55,0.55,0.4,0.55,"[[""PO7"", ""PO3"", ""POz"", ""PO4""], [""PO7"", ""PO3"", ""POz"", ""PO4""], [""PO7"", ""PO3"", ""POz"", ""PO4""], [""PO7"", ""PO3"", ""POz"", ""PO4""]]"
0.75,A_8ch,0.6124999999999999,0.19485571585149872,33.812782870293475,0.75,0.8,0.6,0.3,null
0.75,B_top4_nested,0.47500000000000003,0.125,13.575904646286627,0.45,0.65,0.5,0.3,"[[""PO7"", ""PO3"", ""POz"", ""PO4""], [""PO7"", ""PO3"", ""POz"", ""PO4""], [""PO7"", ""PO3"", ""POz"", ""PO4""], [""PO7"", ""PO3"", ""POz"", ""PO4""]]"
1.0,A_8ch,0.7000000000000001,0.15811388300841897,38.59322103317764,0.8,0.9,0.6,0.5,null
1.0,B_top4_nested,0.6625000000000001,0.23815698604072064,32.56013365485228,0.9,0.9,0.4,0.45,"[[""PO8"", ""O2"", ""PO4"", ""Oz""], [""Oz"", ""O2"", ""O1"", ""PO3""], [""O2"", ""PO7"", ""O1"", ""Oz""], [""Oz"", ""POz"", ""PO3"", ""PO4""]]"
1.25,A_8ch,0.7125,0.18833148966649205,32.584962413475594,0.9,0.9,0.55,0.5,null
1.25,B_top4_nested,0.7,0.20615528128088298,30.874576826542103,0.85,0.95,0.45,0.55,"[[""PO8"", ""O2"", ""PO4"", ""Oz""], [""Oz"", ""O2"", ""O1"", ""PO3""], [""O2"", ""PO7"", ""O1"", ""Oz""], [""Oz"", ""POz"", ""PO3"", ""PO4""]]"
1.5,A_8ch,0.7375,0.16345871038277526,30.138072842284668,0.9,0.9,0.6,0.55,null
1.5,B_top4_nested,0.7,0.2,25.728814022118417,0.9,0.9,0.5,0.5,"[[""O2"", ""PO8"", ""PO3"", ""Oz""], [""Oz"", ""O2"", ""O1"", ""POz""], [""O2"", ""Oz"", ""PO3"", ""PO8""], [""PO4"", ""POz"", ""PO8"", ""O2""]]"
2.0,A_8ch,0.775,0.20155644370746373,26.225718249741785,0.95,1.0,0.55,0.6,null
2.0,B_top4_nested,0.8125,0.16723860200324564,30.198218129689124,0.95,1.0,0.6,0.7,"[[""O2"", ""PO8"", ""O1"", ""Oz""], [""Oz"", ""O2"", ""O1"", ""PO3""], [""PO4"", ""O2"", ""PO8"", ""Oz""], [""POz"", ""PO3"", ""PO4"", ""O1""]]"
2.5,A_8ch,0.8500000000000001,0.15000000000000002,27.657967684210238,1.0,1.0,0.7,0.7,null
2.5,B_top4_nested,0.75,0.20615528128088303,19.019550008653873,0.9,1.0,0.6,0.5,"[[""O2"", ""PO8"", ""O1"", ""Oz""], [""Oz"", ""O1"", ""O2"", ""PO3""], [""O2"", ""PO4"", ""PO8"", ""Oz""], [""POz"", ""PO3"", ""PO7"", ""O1""]]"
3.0,A_8ch,0.8375,0.16345871038277526,22.04373299903523,1.0,1.0,0.7,0.65,null
3.0,B_top4_nested,0.8500000000000001,0.15000000000000002,23.048306403508533,1.0,1.0,0.7,0.7,"[[""O2"", ""PO8"", ""O1"", ""Oz""], [""O1"", ""Oz"", ""O2"", ""PO3""], [""PO4"", ""PO8"", ""O2"", ""PO3""], [""POz"", ""PO8"", ""PO3"", ""PO4""]]"
4.0,A_8ch,0.8125,0.16345871038277524,15.099109064844562,1.0,0.95,0.65,0.65,null
4.0,B_top4_nested,0.775,0.2358495283014151,13.112859124870893,1.0,0.95,0.75,0.4,"[[""O2"", ""O1"", ""PO8"", ""Oz""], [""O1"", ""Oz"", ""O2"", ""PO3""], [""PO4"", ""PO3"", ""POz"", ""PO8""], [""O1"", ""PO3"", ""POz"", ""PO7""]]"
5.0,A_8ch,0.85,0.12747548783981963,13.828983842105114,1.0,0.95,0.7,0.75,null
5.0,B_top4_nested,0.7375,0.2607081701826776,9.041421852685401,1.0,0.95,0.65,0.35,"[[""O2"", ""O1"", ""Oz"", ""PO8""], [""O1"", ""Oz"", ""O2"", ""PO3""], [""PO3"", ""PO4"", ""POz"", ""Oz""], [""O1"", ""PO3"", ""POz"", ""PO7""]]"
